id,name,category,town,address,phone,email,website,verify_status,notes,source
sc-001,Appletree Kosher Supermarket,Supermarkets & Groceries,Liberty,"1885 NY-52, Liberty, NY 12754",845-428-9400,,appletreekosher.com,confirmed,"Salad bar, sushi, takeout",Curated + Vues 6/25/26
sc-002,Goldman's Grocery,Supermarkets & Groceries,Monticello,"38 Joyland Rd, Monticello, NY 12701",347-267-7274,,,confirmed,Alt 917-569-4790,Curated + Vues 6/25/26
sc-003,Gourmet Glatt Kiamesha Lake,Supermarkets & Groceries,Kiamesha Lake,"4685 NY-42, Kiamesha Lake, NY 12751",845-609-3600,,gourmetglatt.com,confirmed,Prepared foods + pizza,Curated + Vues 6/25/26
sc-004,Kosher Express on the 42,Supermarkets & Groceries,Kiamesha Lake,"4670 NY-42, Kiamesha Lake, NY 12751",845-791-7111,,,confirmed,Next to Cafe Express,Curated + Vues 6/25/26
sc-005,Landau's Supermarket,Supermarkets & Groceries,South Fallsburg,"3 Railroad Plaza, South Fallsburg, NY 12779",845-436-1267,,landausupstate.com,confirmed,On-site Main St Pizza + Boosur section,Curated + Vues 6/25/26
sc-006,Lemonade Kosher Supermarket,Supermarkets & Groceries,Liberty,"261 N Main St, Liberty, NY 12754",845-218-1244,,lemonadesupermarket.com,confirmed,Former Liberty Market; Zaftig Take-Out inside; KB Kosher Food = same plaza,Curated + Vues 6/25/26
sc-007,Mountain Food (Mountain Kosher Food),Supermarkets & Groceries,Monticello,"286 E Broadway, Monticello, NY 12701",845-794-4600,,,confirmed,Also listed as Kosher Garden; nearby Mountain Fruit produce,Curated + Vues 6/25/26
sc-008,Tyberg's Grocery,Supermarkets & Groceries,Swan Lake,"~41 Stanton Corner Rd, Swan Lake, NY 12783",,,,confirmed,New for 2026 (Vues),Curated + Vues 6/25/26
sc-009,Yagdil Kosher Supermarket,Supermarkets & Groceries,Fallsburg,"33 Laurel Park Rd, Fallsburg, NY 12733",845-434-3663,chaim@yagdilkosher.com,,confirmed,Full-service anchor (845-434-FOOD),Curated + Vues 6/25/26
sc-010,Zest Supermarket,Supermarkets & Groceries,Woodbourne,"425 NY-52, Woodbourne, NY 12788",845-434-1617,orders@zestkosher.com,zestsupermarket.com,confirmed,"Formerly Woodbourne Grocery; delivery, late hours",Curated + Vues 6/25/26
sc-011,Aladdin Supermarket,Supermarkets & Groceries,Woodbourne,"184 Hasbrouck Dr (Kiryas Beirach Moshe), Woodbourne, NY 12788",,,,verify,Colony market,Curated + Vues 6/25/26
sc-012,All Fresh Supermarket,Supermarkets & Groceries,White Lake,"Rt 17B, White Lake, NY 12786",,,,verify,"Separate 'All Fresh-Kosher Corner' at 706 Laurel Ave, Fallsburg (718-908-1987) - verify",Curated + Vues 6/25/26
sc-013,Barron's Grocery,Supermarkets & Groceries,Fallsburg,"5574 NY-42, Fallsburg, NY 12733",,,,verify,NYS registry,Curated + Vues 6/25/26
sc-014,Buy Rite Kosher Supermarket,Supermarkets & Groceries,Woodridge,"13 Greenfield Rd, Woodridge, NY 12789",845-434-7365,,,verify,Large summer location; houses Ossie's Fish + sushi; alt 845-434-1718,Curated + Vues 6/25/26
sc-015,Camp Morris Grocery (Morris Food),Supermarkets & Groceries,Woodridge,"40 Camp Morris Rd, Woodridge, NY 12789",718-633-0262,,,verify,NYS registry; Rebbe's Choice retail,Curated + Vues 6/25/26
sc-016,Catskill Kosher Center,Supermarkets & Groceries,Kiamesha Lake,"30 Feldman Cir, Kiamesha Lake, NY 12751",845-794-7623,,,verify,Convenience-size,Curated + Vues 6/25/26
